RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1961-1990 and 1991-2020,Declined between 1900-1930 and 1991-2020,Increased between 1961-1990 and 1991-2020,Increased between 1900-1930 and 1991-2020,No significant change over recent or historical time frames
Cheilosia prima,Dasysyrphus creper,Allograpta obliqua,Allograpta obliqua,Baccha cognata
Chrysogaster antitheus (ontario),Helophilus groenlandicus,Eristalis tenax,Chalcosyrphus (Xylota) libo,Blera badia
Chrysotoxum flavifrons,Melangyna lasiophthalma,Eupeodes fumipennis,Eristalis tenax,Blera nigra
Chrysotoxum plumeum (perplexum),Pipiza puella (nigrotibiata),,Eupeodes fumipennis,Brachyopa perplexa
Chrysotoxum pubescens (luteopilosum),Platycheirus angustatus,,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Chalcosyrphus inarmatus
Criorhina caudata,Platycheirus immarginatus (felix),,Mallota (Imatisma) bautias,Chalcosyrphus plesia
Dasysyrphus creper,Platycheirus modestus,,Paragus haemorrhous,Cheilosia rita (alpinensis)
Helophilus groenlandicus,,,Pelecinobaccha (Ocyptamus) costata,Copestylum mexicanum
Melangyna lasiophthalma,,,,Copestylum tamaulipanum
Neoascia tenur,,,,Copestylum violaceum
Pipiza puella (nigrotibiata),,,,Criorhina kincaidi
Platycheirus angustatus,,,,"Criorhina nigriventris (maritima,mystaceae)"
Platycheirus hyperboreus (erraticus),,,,Dasysyrphus amalopis
Platycheirus immarginatus (felix),,,,Dasysyrphus pacificus
Platycheirus modestus,,,,Doros aequalis
Platycheirus scutatus,,,,Eumerus strigatus
Platycheirus striatus,,,,Eupeodes perplexus
,,,,Fazia (Allograpta) micrura
,,,,Ferdinandea croesus
,,,,Hadromyia (Caliprobola) crawfordi
,,,,Helophilus lapponicus
,,,,Lejops cooleyi
,,,,Lejops polygrammus
,,,,Leucozona velutina
,,,,Melangyna fisherii
,,,,Microdon globosus (hutchingsi)
,,,,Microdon manitobensis
,,,,Microdon tristis
,,,,Myolepta varipes
,,,,Neocnemodon calcarata
,,,,Pelecocera willistoni
,,,,Pipiza macrofemoralis
,,,,Pipiza nigripilosa
,,,,Pipiza quadrimaculata
,,,,Platycheirus nearcticus
,,,,Platycheirus peltatoides
,,,,Platycheirus trichopus
,,,,Platycheirus varipes
,,,,Psilota flavidipennis
,,,,Sericomyia chalcopyga
,,,,Sericomyia sexfasciata
,,,,Sphecomyia pattonii
,,,,Sphegina flavomaculata (notata)
,,,,Sphegina rufiventris
,,,,Spilomyia alcimus
,,,,Syrphus attenuatus
,,,,Syrphus knabi
,,,,Syrphus opinator
,,,,Syrphus rectus (transversalis)
,,,,Temnostoma alternans
,,,,Temnostoma trifasciatum
,,,,Toxomerus occidentalis
,,,,Xylota flavifrons
,,,,Xylota subfasciata